"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"sm__sass_branch_targets_threads_uniform","Counter","branches","# of branch executions where all active threads selected the same branch target","1"
"sm__sass_data_bytes_mem_global","Counter","byte","# of bytes required for global operations","1"
"sm__sass_data_bytes_mem_global_op_atom","Counter","byte","# of bytes required for global atom","1"
"sm__sass_data_bytes_mem_global_op_ld","Counter","byte","# of bytes required for global loads","1"
"sm__sass_data_bytes_mem_global_op_ldgsts","Counter","byte","# of bytes required for LDGSTS global loads","1"
"sm__sass_data_bytes_mem_global_op_ldgsts_cache_access","Counter","byte","# of bytes required for LDGSTS.ACCESS global loads","1"
"sm__sass_data_bytes_mem_global_op_ldgsts_cache_bypass","Counter","byte","# of bytes required for LDGSTS.BYPASS global loads","1"
"sm__sass_data_bytes_mem_global_op_red","Counter","byte","# of bytes required for global reductions","1"
"sm__sass_data_bytes_mem_global_op_st","Counter","byte","# of bytes required for global stores","1"
"sm__sass_data_bytes_mem_local","Counter","byte","# of bytes required for local operations","1"
"sm__sass_data_bytes_mem_local_op_ld","Counter","byte","# of bytes required for local loads","1"
"sm__sass_data_bytes_mem_local_op_st","Counter","byte","# of bytes required for local stores","1"
"sm__sass_data_bytes_mem_shared","Counter","byte","# of shared memory bytes required for LDS, LD, STS, ST, ATOMS, ATOM, LDSM, LDGSTS","1"
"sm__sass_data_bytes_mem_shared_op_atom","Counter","byte","# of shared memory bytes required for ATOMS, ATOM","1"
"sm__sass_data_bytes_mem_shared_op_ld","Counter","byte","# of shared memory bytes required for LDS, LD","1"
"sm__sass_data_bytes_mem_shared_op_ldgsts","Counter","byte","# of shared memory bytes required for LDGSTS","1"
"sm__sass_data_bytes_mem_shared_op_ldgsts_cache_access","Counter","byte","# of shared memory bytes required for LDGSTS.ACCESS","1"
"sm__sass_data_bytes_mem_shared_op_ldgsts_cache_bypass","Counter","byte","# of shared memory bytes required for LDGSTS.BYPASS","1"
"sm__sass_data_bytes_mem_shared_op_ldsm","Counter","byte","# of shared memory bytes required for LDSM","1"
"sm__sass_data_bytes_mem_shared_op_st","Counter","byte","# of shared memory bytes required for STS, ST","1"
"sm__sass_inst_executed","Counter","inst","# of warp instructions executed","1"
"sm__sass_inst_executed_memdesc_explicit","Counter","inst","# of warp instructions executed with explicit memory descriptor","1"
"sm__sass_inst_executed_memdesc_explicit_hitprop_evict_first","Counter","inst","# of warp instructions executed with explicit memory descriptor's policy on hit = EVICT_FIRST","1"
"sm__sass_inst_executed_memdesc_explicit_hitprop_evict_last","Counter","inst","# of warp instructions executed with explicit memory descriptor's policy on hit = EVICT_LAST","1"
"sm__sass_inst_executed_memdesc_explicit_hitprop_evict_normal","Counter","inst","# of warp instructions executed with explicit memory descriptor's policy on hit = EVICT_NORMAL","1"
"sm__sass_inst_executed_memdesc_explicit_hitprop_evict_normal_demote","Counter","inst","# of warp instructions executed with explicit memory descriptor's policy on hit = EVICT_NORMAL_DEMOTE","1"
"sm__sass_inst_executed_memdesc_explicit_missprop_evict_first","Counter","inst","# of warp instructions executed with explicit memory descriptor's policy on miss = EVICT_FIRST","1"
"sm__sass_inst_executed_memdesc_explicit_missprop_evict_normal","Counter","inst","# of warp instructions executed with explicit memory descriptor's policy on miss = EVICT_NORMAL","1"
"sm__sass_inst_executed_op_atom","Counter","inst","# of warp instructions executed: ATOM, ATOMG, ATOMS, ATOM","1"
"sm__sass_inst_executed_op_branch","Counter","inst","# of warp instructions executed: BRA, JMP, BRX, BRXU, JMX, JMXU, CALL, RET, WARPSYNC.EXCLUSIVE","1"
"sm__sass_inst_executed_op_global","Counter","inst","# of warp instructions executed: LDG, STG, LD, ST, ATOM, ATOMG, RED","1"
"sm__sass_inst_executed_op_global_atom","Counter","inst","# of warp instructions executed: ATOM, ATOMG","1"
"sm__sass_inst_executed_op_global_ld","Counter","inst","# of warp instructions executed: LDG, LD","1"
"sm__sass_inst_executed_op_global_red","Counter","inst","# of warp instructions executed: RED","1"
"sm__sass_inst_executed_op_global_st","Counter","inst","# of warp instructions executed: STG, ST","1"
"sm__sass_inst_executed_op_ld","Counter","inst","# of warp instructions executed: LDG, LD, LDS, LDL, LDSM","1"
"sm__sass_inst_executed_op_ldgsts","Counter","inst","# of warp instructions executed: LDGSTS","1"
"sm__sass_inst_executed_op_ldgsts_cache_access","Counter","inst","# of warp instructions executed: LDGSTS.ACCESS","1"
"sm__sass_inst_executed_op_ldgsts_cache_bypass","Counter","inst","# of warp instructions executed: LDGSTS.BYPASS","1"
"sm__sass_inst_executed_op_ldsm","Counter","inst","# of warp instructions executed: LDSM","1"
"sm__sass_inst_executed_op_local","Counter","inst","# of warp instructions executed: LDL, LD, STL, ST","1"
"sm__sass_inst_executed_op_local_ld","Counter","inst","# of warp instructions executed: LDL, LD","1"
"sm__sass_inst_executed_op_local_st","Counter","inst","# of warp instructions executed: STL, ST","1"
"sm__sass_inst_executed_op_memory_128b","Counter","inst","# of warp instructions executed by memory instructions with width 128 bit","1"
"sm__sass_inst_executed_op_memory_16b","Counter","inst","# of warp instructions executed by memory instructions with width 16 bit","1"
"sm__sass_inst_executed_op_memory_32b","Counter","inst","# of warp instructions executed by memory instructions with width 32 bit","1"
"sm__sass_inst_executed_op_memory_64b","Counter","inst","# of warp instructions executed by memory instructions with width 64 bit","1"
"sm__sass_inst_executed_op_memory_8b","Counter","inst","# of warp instructions executed by memory instructions with width 8 bit","1"
"sm__sass_inst_executed_op_shared","Counter","inst","# of warp instructions executed: LDS, LD, STS, ST, ATOMS, ATOM, LDSM","1"
"sm__sass_inst_executed_op_shared_atom","Counter","inst","# of warp instructions executed: ATOMS ATOM","1"
"sm__sass_inst_executed_op_shared_ld","Counter","inst","# of warp instructions executed: LDS, LD","1"
"sm__sass_inst_executed_op_shared_st","Counter","inst","# of warp instructions executed: STS, ST","1"
"sm__sass_inst_executed_op_st","Counter","inst","# of warp instructions executed: STG, ST, STL","1"
"sm__sass_inst_executed_op_texture","Counter","inst","# of warp instructions executed: texture","1"
"sm__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts","Counter","","# of shared memory data bank conflicts generated by LDGSTS","1"
"sm__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts_cache_access","Counter","","# of shared memory data bank conflicts generated by LDGSTS.ACCESS","1"
"sm__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts_cache_bypass","Counter","","# of shared memory data bank conflicts generated by LDGSTS.BYPASS","1"
"sm__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldsm","Counter","","# of shared memory data bank conflicts generated by LDSM","1"
"sm__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_st","Counter","","# of shared memory data bank conflicts generated by STS, ST","1"
"sm__sass_l1tex_data_bank_writes_pipe_lsu_mem_shared_op_ldgsts_cache_access","Counter","","# of LDGSTS.ACCESS shared data bank writes","1"
"sm__sass_l1tex_data_bytes_write_pipe_lsu_mem_shared_op_ldgsts_cache_access","Counter","byte","# of LDGSTS.ACCESS shared data bytes write","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_atom","Counter","","# of shared memory wavefronts processed by Data-Stage for ATOMS, ATOM","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ld","Counter","","# of shared memory wavefronts processed by Data-Stage for LDS, LD","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts","Counter","","# of shared memory wavefronts processed by Data-Stage for LDGSTS","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts_cache_access","Counter","","# of shared memory wavefronts processed by Data-Stage for LDGSTS.ACCESS","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts_cache_bypass","Counter","","# of shared memory wavefronts processed by Data-Stage for LDGSTS.BYPASS","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldsm","Counter","","# of shared memory wavefronts processed by Data-Stage for LDSM","1"
"sm__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_st","Counter","","# of shared memory wavefronts processed by Data-Stage for STS, ST","1"
"sm__sass_l1tex_m_xbar2l1tex_read_bytes_mem_global_op_ldgsts_cache_bypass","Counter","byte","# of bytes read from L2 into L1TEX M-Stage for LDGSTS.BYPASS","1"
"sm__sass_l1tex_m_xbar2l1tex_read_sectors_mem_global_op_ldgsts_cache_bypass","Counter","sector","# of sectors read from L2 into L1TEX M-Stage for LDGSTS.BYPASS","1"
"sm__sass_l1tex_pipe_lsu_wavefronts_mem_shared","Counter","","# of shared memory wavefronts processed by Data-Stage for LDS, LD, STS, ST, ATOMS, ATOM, LDSM, LDGSTS","1"
"sm__sass_l1tex_t_output_wavefronts_pipe_lsu_mem_global_op_ldgsts_cache_access","Counter","","# of wavefronts sent to Data-Stage from T-Stage for LDGSTS.ACCESS","1"
"sm__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts","Counter","","# of requests sent to T-Stage for LDGSTS","1"
"sm__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts_cache_access","Counter","","# of requests sent to T-Stage for LDGSTS.ACCESS","1"
"sm__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts_cache_bypass","Counter","","# of requests sent to T-Stage for LDGSTS.BYPASS","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_atom","Counter","sector","# of sectors requested for global atom","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ld","Counter","sector","# of sectors requested for global loads","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts","Counter","sector","# of sectors requested for LDGSTS","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts_cache_access","Counter","sector","# of sectors requested for LDGSTS.ACCESS","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts_cache_bypass","Counter","sector","# of sectors requested for LDGSTS.BYPASS","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_red","Counter","sector","# of sectors requested for global reductions","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_st","Counter","sector","# of sectors requested for global stores","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_local_op_ld","Counter","sector","# of sectors requested for local loads","1"
"sm__sass_l1tex_t_sectors_pipe_lsu_mem_local_op_st","Counter","sector","# of sectors requested for local stores","1"
"sm__sass_l1tex_tags_mem_global","Counter","","# of L1 cache tag lookups generated by global memory instructions","1"
"sm__sass_sectors_mem_global","Counter","sector","# of global memory sectors accessed","1"
"sm__sass_sectors_mem_local","Counter","sector","# of local memory sectors accessed","1"
"sm__sass_thread_inst_executed","Counter","inst","# of thread instructions executed","1"
"sm__sass_thread_inst_executed_op_bit_pred_on","Counter","inst","# of bit thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_control_pred_on","Counter","inst","# of control-flow thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_conversion_pred_on","Counter","inst","# of conversion thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_dadd_pred_on","Counter","inst","# of DADD thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_dfma_pred_on","Counter","inst","# of DFMA thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_dmul_pred_on","Counter","inst","# of DMUL thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_fadd_pred_on","Counter","inst","# of FADD thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_ffma_pred_on","Counter","inst","# of FFMA thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_fmul_pred_on","Counter","inst","# of FMUL thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_fp16_pred_on","Counter","inst","# of half-precision floating-point thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_fp32_pred_on","Counter","inst","# of single-precision floating-point thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_fp64_pred_on","Counter","inst","# of double-precision floating-point thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_hadd_pred_on","Counter","inst","# of HADD thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_hfma_pred_on","Counter","inst","# of HFMA thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_hmul_pred_on","Counter","inst","# of HMUL thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_integer_pred_on","Counter","inst","# of integer thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_inter_thread_communication_pred_on","Counter","inst","# of inter-thread communication thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_memory_pred_on","Counter","inst","# of memory thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_misc_pred_on","Counter","inst","# of miscellaneous instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_op_uniform_pred_on","Counter","inst","# of uniform thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on","Counter","inst","# of DADD, DMUL and DFMA thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on","Counter","inst","# of FADD, FMUL and FFMA thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on","Counter","inst","# of HADD, HMUL and HFMA thread instructions executed where all predicates were true","1"
"sm__sass_thread_inst_executed_pred_on","Counter","inst","# of thread instructions where all predicates were true","1"
"sm__thread_inst_executed_pipe_alu_pred_on","Counter","inst","# of thread instructions executed by alu where guard predicate was true","1"
"sm__thread_inst_executed_pipe_fma_pred_on","Counter","inst","# of thread instructions executed by fma pipe where guard predicate was true","1"
"sm__thread_inst_executed_pipe_fma_type_fp16_pred_on","Counter","inst","# of thread instructions executed by fma_type_fp16 where guard predicate was true","1"
"sm__thread_inst_executed_pipe_fmaheavy_pred_on","Counter","inst","# of thread instructions executed by fmaheavy pipe where guard predicate was true","1"
"sm__thread_inst_executed_pipe_fmalite_pred_on","Counter","inst","# of thread instructions executed by fmalite pipe where guard predicate was true","1"
"sm__thread_inst_executed_pipe_fp64_pred_on","Counter","inst","# of thread instructions executed by fp64 where guard predicate was true","1"
"sm__thread_inst_executed_pipe_ipa_pred_on","Counter","inst","# of thread instructions executed by ipa where guard predicate was true","1"
"sm__thread_inst_executed_pipe_lsu_pred_on","Counter","inst","# of thread instructions executed by lsu where guard predicate was true","1"
"sm__thread_inst_executed_pipe_xu_pred_on","Counter","inst","# of thread instructions executed by xu where guard predicate was true","1"
"sm__thread_inst_executed_pred_on_realtime","Counter","inst","# of thread instructions executed","1"
"sm__threads_launched","Counter","thread","# of threads launched","1"
"sm__threads_launched_shader_cs","Counter","thread","# of threads launched for CS","1"
"sm__throughput","Throughput","%","SM throughput assuming ideal load balancing across SMSPs","1"
"sm__warps_active","Counter","warp","cumulative # of warps in flight","1"
"sm__warps_active_realtime","Counter","warp","cumulative # of warps in flight","1"
"sm__warps_active_shader_cs","Counter","warp","cumulative # of active CS warps","1"
"sm__warps_active_shader_cs_realtime","Counter","warp","cumulative # of active CS warps","1"
"sm__warps_launched","Counter","warp","# of warps launched","1"
"sm__warps_launched_shader_cs","Counter","warp","# of warps launched for CS","1"
"smsp__amortized_warp_latency","Ratio","cycle/warp","amortized warp duration (cycles)","1"
"smsp__average_inst_executed_per_warp","Ratio","inst/warp","average # of instructions executed per warp","1"
"smsp__average_inst_executed_pipe_alu_per_warp","Ratio","inst/warp","average # of instructions executed by pipe alu per warp","1"
"smsp__average_inst_executed_pipe_cbu_per_warp","Ratio","inst/warp","average # of instructions executed by pipe cbu per warp","1"
"smsp__average_inst_executed_pipe_fma_per_warp","Ratio","inst/warp","average # of instructions executed by pipe fma per warp","1"
"smsp__average_inst_executed_pipe_fma_type_fp16_per_warp","Ratio","inst/warp","average # of instructions executed by pipe fma_type_fp16 per warp","1"
"smsp__average_inst_executed_pipe_fmaheavy_per_warp","Ratio","inst/warp","average # of instructions executed by pipe fmaheavy per warp","1"
"smsp__average_inst_executed_pipe_fmalite_per_warp","Ratio","inst/warp","average # of instructions executed by pipe fmalite per warp","1"
"smsp__average_inst_executed_pipe_fp64_op_dmma_per_warp","Ratio","inst/warp","average # of instructions executed by pipe fp64_op_dmma per warp","1"
"smsp__average_inst_executed_pipe_fp64_op_fp64_per_warp","Ratio","inst/warp","average # of instructions executed by pipe fp64_op_fp64 per warp","1"
"smsp__average_inst_executed_pipe_fp64_per_warp","Ratio","inst/warp","average # of instructions executed by pipe fp64 per warp","1"
"smsp__average_inst_executed_pipe_ipa_per_warp","Ratio","inst/warp","average # of instructions executed by pipe ipa per warp","1"
"smsp__average_inst_executed_pipe_lsu_per_warp","Ratio","inst/warp","average # of instructions executed by pipe lsu per warp","1"
"smsp__average_inst_executed_pipe_tensor_op_hmma_per_warp","Ratio","inst/warp","average # of instructions executed by pipe tensor_op_hmma per warp","1"
"smsp__average_inst_executed_pipe_tensor_op_imma_per_warp","Ratio","inst/warp","average # of instructions executed by pipe tensor_op_imma per warp","1"
"smsp__average_inst_executed_pipe_tex_per_warp","Ratio","inst/warp","average # of instructions executed by pipe tex per warp","1"
"smsp__average_inst_executed_pipe_uniform_per_warp","Ratio","inst/warp","average # of instructions executed by pipe uniform per warp","1"
"smsp__average_inst_executed_pipe_xu_per_warp","Ratio","inst/warp","average # of instructions executed by pipe xu per warp","1"
"smsp__average_thread_inst_executed_per_inst_executed","Ratio","","average # of active threads per instruction executed","1"
"smsp__average_thread_inst_executed_pred_on_per_inst_executed","Ratio","","average # of active predicated-on threads per instruction executed","1"
"smsp__average_threads_launched_per_warp","Ratio","thread/warp","average # of threads launched per warp","1"
"smsp__average_warp_latency","Ratio","cycle","average warp duration (cycles)","1"
"smsp__average_warp_latency_issue_stalled_barrier","Ratio","inst/warp","average # of warp cycles spent waiting for sibling warps at a CTA barrier","1"
"smsp__average_warp_latency_issue_stalled_branch_resolving","Ratio","inst/warp","average # of warp cycles spent waiting for a branch target address to be computed, and the warp PC to be updated","1"
"smsp__average_warp_latency_issue_stalled_dispatch_stall","Ratio","inst/warp","average # of warp cycles spent waiting on a dispatch stall","1"
"smsp__average_warp_latency_issue_stalled_drain","Ratio","inst/warp","average # of warp cycles spent waiting after EXIT for all memory instructions to complete so that warp resources can be freed","1"
"smsp__average_warp_latency_issue_stalled_imc_miss","Ratio","inst/warp","average # of warp cycles spent waiting for an immediate constant cache (IMC) miss","1"
"smsp__average_warp_latency_issue_stalled_lg_throttle","Ratio","inst/warp","average # of warp cycles spent waiting for a free entry in the LSU instruction queue","1"
"smsp__average_warp_latency_issue_stalled_long_scoreboard","Ratio","inst/warp","average # of warp cycles spent waiting for a scoreboard dependency on L1TEX (local, global, surface, tex) operation","1"
"smsp__average_warp_latency_issue_stalled_long_scoreboard_pipe_l1tex","Ratio","inst/warp","average # of warp cycles spent waiting for a scoreboard dependency on non-RTCORE L1TEX (local, global, surface, tex) operation","1"
"smsp__average_warp_latency_issue_stalled_math_pipe_throttle","Ratio","inst/warp","average # of warp cycles spent waiting for an execution pipe to be available","1"
"smsp__average_warp_latency_issue_stalled_membar","Ratio","inst/warp","average # of warp cycles spent waiting on a memory barrier","1"
"smsp__average_warp_latency_issue_stalled_mio_throttle","Ratio","inst/warp","average # of warp cycles spent waiting for a free entry in the MIO instruction queue","1"
"smsp__average_warp_latency_issue_stalled_mio_throttle_pipe_mio","Ratio","inst/warp","average # of warp cycles spent waiting for a free entry in the non-RTCORE pipe of MIO instruction queue","1"
"smsp__average_warp_latency_issue_stalled_misc","Ratio","inst/warp","average # of warp cycles spent waiting on a miscellaneous hardware reason","1"
"smsp__average_warp_latency_issue_stalled_no_instruction","Ratio","inst/warp","average # of warp cycles spent waiting to be selected for instruction fetch, or waiting on an instruction cache miss","1"
"smsp__average_warp_latency_issue_stalled_not_selected","Ratio","inst/warp","average # of warp cycles spent waiting for the microscheduler to select the warp to issue","1"
"smsp__average_warp_latency_issue_stalled_selected","Ratio","inst/warp","average # of warp cycles spent selected by the microscheduler to issue an instruction","1"
"smsp__average_warp_latency_issue_stalled_short_scoreboard","Ratio","inst/warp","average # of warp cycles spent waiting for a scoreboard dependency on MIO operation other than (local, global, surface, tex)","1"
"smsp__average_warp_latency_issue_stalled_sleeping","Ratio","inst/warp","average # of warp cycles spent waiting for a nanosleep to expire","1"
"smsp__average_warp_latency_issue_stalled_tex_throttle","Ratio","inst/warp","average # of warp cycles spent waiting for a free entry in the TEX instruction queue","1"
"smsp__average_warp_latency_issue_stalled_wait","Ratio","inst/warp","average # of warp cycles spent waiting on a fixed latency execution dependency","1"
"smsp__average_warp_latency_per_inst_executed","Ratio","cycle","average # of cycles each warp was resident per instruction executed","1"
"smsp__average_warp_latency_per_inst_issued","Ratio","cycle","average # of cycles each warp was resident per instruction issued","1"
"smsp__average_warps_active_per_inst_executed","Ratio","cycle","average # of cycles each warp was resident per instruction executed","1"
"smsp__average_warps_active_per_issue_active","Ratio","warp","average # of warps resident per issue cycle","1"
"smsp__average_warps_issue_stalled_barrier_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for sibling warps at a CTA barrier","1"
"smsp__average_warps_issue_stalled_branch_resolving_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for a branch target address to be computed, and the warp PC to be updated","1"
"smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting on a dispatch stall","1"
"smsp__average_warps_issue_stalled_drain_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting after EXIT for all memory instructions to complete so that warp resources can be freed","1"
"smsp__average_warps_issue_stalled_imc_miss_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for an immediate constant cache (IMC) miss","1"
"smsp__average_warps_issue_stalled_lg_throttle_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for a free entry in the LSU instruction queue","1"
"smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for a scoreboard dependency on L1TEX (local, global, surface, tex) operation","1"
"smsp__average_warps_issue_stalled_long_scoreboard_pipe_l1tex_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for a scoreboard dependency on non-RTCORE L1TEX (local, global, surface, tex) operation","1"
"smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for an execution pipe to be available","1"
"smsp__average_warps_issue_stalled_membar_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting on a memory barrier","1"
"smsp__average_warps_issue_stalled_mio_throttle_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for a free entry in the MIO instruction queue","1"
"smsp__average_warps_issue_stalled_mio_throttle_pipe_mio_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for a free entry in the non-RTCORE pipe of MIO instruction queue","1"
"smsp__average_warps_issue_stalled_misc_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting on a miscellaneous hardware reason","1"
"smsp__average_warps_issue_stalled_no_instruction_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting to be selected for instruction fetch, or waiting on an instruction cache miss","1"
"smsp__average_warps_issue_stalled_not_selected_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for the microscheduler to select the warp to issue","1"
"smsp__average_warps_issue_stalled_selected_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, selected by the microscheduler to issue an instruction","1"
"smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for a scoreboard dependency on MIO operation other than (local, global, surface, tex)","1"
"smsp__average_warps_issue_stalled_sleeping_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for a nanosleep to expire","1"
"smsp__average_warps_issue_stalled_tex_throttle_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting for a free entry in the TEX instruction queue","1"
"smsp__average_warps_issue_stalled_wait_per_issue_active","Ratio","inst","average # of warps resident per issue cycle, waiting on a fixed latency execution dependency","1"
"smsp__cycles_active","Counter","cycle","# of cycles with at least one warp in flight","1"
"smsp__cycles_elapsed","Counter","cycle","# of cycles elapsed on SMSP","1"
"smsp__cycles_in_frame","Counter","cycle","# of cycles in user-defined frame","1"
"smsp__cycles_in_region","Counter","cycle","# of cycles in user-defined region","1"
"smsp__imc_request_hit_rate","Ratio","","proportion of IMC requests that hit","1"
"smsp__imc_requests","Counter","cycle","# of IMC requests","1"
"smsp__imc_requests_lookup_hit","Counter","cycle","# of IMC requests that hit","1"
"smsp__imc_requests_lookup_miss","Counter","cycle","# of IMC requests that missed","1"
"smsp__imc_requests_lookup_miss_tag_hit","Counter","cycle","# of IMC requests that missed and were covered by a pending miss","1"
"smsp__imc_requests_lookup_miss_tag_miss","Counter","cycle","# of IMC requests that missed and were sent to GCC","1"
"smsp__imc_requests_lookup_miss_tag_unavailable","Counter","cycle","# of IMC requests that missed and were unserved due to lack of resources","1"
"smsp__inst_executed","Counter","inst","# of warp instructions executed","1"
"smsp__inst_executed_op_branch","Counter","inst","# of warp instructions executed: by cbu pipe except BMOV, BSSY","1"
"smsp__inst_executed_op_generic_atom","Counter","inst","# of warp instructions executed: ATOM.*","1"
"smsp__inst_executed_op_generic_atom_dot_alu","Counter","inst","# of warp instructions executed: ATOM.ALU, ATOMG.ALU (non-CAS)","1"
"smsp__inst_executed_op_generic_atom_dot_alu_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: ATOM.ALU, ATOMG.ALU (non-CAS)","1"
"smsp__inst_executed_op_generic_atom_dot_alu_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: ATOM.ALU, ATOMG.ALU (non-CAS)","1"
"smsp__inst_executed_op_generic_atom_dot_cas","Counter","inst","# of warp instructions executed: ATOM.CAS, ATOMG.CAS","1"
"smsp__inst_executed_op_generic_atom_dot_cas_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: ATOM.CAS, ATOMG.CAS","1"
"smsp__inst_executed_op_generic_atom_dot_cas_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: ATOM.CAS, ATOMG.CAS","1"
"smsp__inst_executed_op_generic_atom_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: ATOM.*","1"
"smsp__inst_executed_op_generic_atom_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: ATOM.*","1"
"smsp__inst_executed_op_generic_ld","Counter","inst","# of warp instructions executed: LD","1"
"smsp__inst_executed_op_generic_ld_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: LD","1"
"smsp__inst_executed_op_generic_ld_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: LD","1"
"smsp__inst_executed_op_generic_st","Counter","inst","# of warp instructions executed: ST","1"
"smsp__inst_executed_op_generic_st_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: ST","1"
"smsp__inst_executed_op_generic_st_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: ST","1"
"smsp__inst_executed_op_global_ld","Counter","inst","# of warp instructions executed: LDG","1"
"smsp__inst_executed_op_global_ld_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: LDG","1"
"smsp__inst_executed_op_global_ld_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: LDG","1"
"smsp__inst_executed_op_global_red","Counter","inst","# of warp instructions executed: RED","1"
