"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"l1tex__data_pipe_lsu_wavefronts_mem_lg","Counter","","# of local/global wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_lsu_wavefronts_mem_lg_cmd_read","Counter","","# of local/global read wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_lsu_wavefronts_mem_lg_cmd_write","Counter","","# of local/global write wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared","Counter","","# of shared memory wavefronts processed by Data-Stage for LDS, LD, 3D attribute loads, LDSM, STS, ST, ATOMS, ATOM, 3D attribute stores, LDGSTS and Misc.","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_cmd_read","Counter","","# of shared read wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_cmd_write","Counter","","# of shared write wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom","Counter","","# of shared memory wavefronts processed by Data-Stage for ATOMS, ATOM","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ipa","Counter","","# of IPA wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld","Counter","","# of shared memory wavefronts processed by Data-Stage for LDS, LD, 3D attribute loads, LDSM","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st","Counter","","# of shared memory wavefronts processed by Data-Stage for STS, ST, 3D attribute stores, LDGSTS","1"
"l1tex__data_pipe_lsu_wavefronts_mem_surface","Counter","","# of surface write wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_tex_wavefronts","Counter","","# of texture + surface read wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_tex_wavefronts_mem_surface","Counter","","# of surface read wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_tex_wavefronts_mem_texture","Counter","","# of texture wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_tex_wavefronts_realtime","Counter","","# of texture + surface wavefronts processed by Data-Stage","1"
"l1tex__f_cycles_active","Counter","","# of cycles where L1TEX F-Stage was active","1"
"l1tex__f_tex2sm_cycles_active","Counter","cycle","# of cycles where interface carrying return data from L1TEX F-Stage back to SM was active","1"
"l1tex__f_tex2sm_cycles_stalled","Counter","cycle","# of cycles where interface carrying return data from L1TEX F-Stage back to SM was stalled","1"
"l1tex__f_wavefronts","Counter","","# of wavefronts processed by L1TEX F-Stage","1"
"l1tex__f_wavefronts_realtime","Counter","cycle","# of wavefronts processed by L1TEX F-Stage","1"
"l1tex__lsu_writeback_active","Counter","cycle","# of cycles where local/global/shared writeback interface was active","1"
"l1tex__lsu_writeback_active_mem_lg","Counter","cycle","# of cycles where local/global writeback interface was active","1"
"l1tex__lsu_writeback_active_mem_shared","Counter","cycle","# of cycles where local/global/shared writeback interface was active for shared memory instructions","1"
"l1tex__lsuin_requests","Counter","","# of local/global/shared/attribute instructions sent to LSU","1"
"l1tex__m_l1tex2xbar_req_cycles_active","Counter","cycle","# of cycles where interface from L1TEX M-Stage to XBAR was active","1"
"l1tex__m_l1tex2xbar_req_cycles_stalled","Counter","cycle","# of cycles where interface from L1TEX M-Stage to XBAR was stalled","1"
"l1tex__m_l1tex2xbar_throughput","Throughput","%","L1TEX M-Stage to XBAR throughput","1"
"l1tex__m_l1tex2xbar_throughput_pipe_lsu","Throughput","%","L1TEX M-Stage to XBAR throughput for LSU pipe","1"
"l1tex__m_l1tex2xbar_throughput_pipe_tex","Throughput","%","L1TEX M-Stage to XBAR throughput for TEX pipe","1"
"l1tex__m_l1tex2xbar_write_bytes","Counter","byte","# of bytes written to L2","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_global_op_atom","Counter","byte","# of bytes written to L2 for global atomics","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_global_op_red","Counter","byte","# of bytes written to L2 for global reductions","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_lg_op_st","Counter","byte","# of bytes written to L2 for local/global stores","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_atom","Counter","byte","# of bytes written to L2 for surface atomics","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_red","Counter","byte","# of bytes written to L2 for surface reductions","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_st","Counter","byte","# of bytes written to L2 for surface stores","1"
"l1tex__m_l1tex2xbar_write_bytes_pipe_lsu","Counter","byte","# of bytes written to L2 for LSU pipe","1"
"l1tex__m_l1tex2xbar_write_bytes_pipe_tex","Counter","byte","# of bytes written to L2 for TEX pipe","1"
"l1tex__m_l1tex2xbar_write_sectors","Counter","sector","# of sectors written to L2","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom","Counter","sector","# of sectors written to L2 for global atomics","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red","Counter","sector","# of sectors written to L2 for global reductions","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st","Counter","sector","# of sectors written to L2 for local/global stores","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom","Counter","sector","# of sectors written to L2 for surface atomics","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red","Counter","sector","# of sectors written to L2 for surface reductions","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st","Counter","sector","# of sectors written to L2 for surface stores","1"
"l1tex__m_l1tex2xbar_write_sectors_pipe_lsu","Counter","sector","# of sectors written to L2 for LSU pipe","1"
"l1tex__m_l1tex2xbar_write_sectors_pipe_tex","Counter","sector","# of sectors written to L2 for TEX pipe","1"
"l1tex__m_xbar2l1tex_read_bytes","Counter","byte","# of bytes read from L2 into L1TEX M-Stage","1"
"l1tex__m_xbar2l1tex_read_bytes_mem_global_op_atom","Counter","byte","# of bytes read from L2 into L1TEX M-Stage for global atomics","1"
"l1tex__m_xbar2l1tex_read_bytes_mem_lg_op_ld","Counter","byte","# of bytes read from L2 into L1TEX M-Stage for local/global loads","1"
"l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_atom","Counter","byte","# of bytes read from L2 into L1TEX M-Stage for surface atomics","1"
"l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_ld","Counter","byte","# of bytes read from L2 into L1TEX M-Stage for surface loads","1"
"l1tex__m_xbar2l1tex_read_bytes_mem_texture","Counter","byte","# of bytes read from L2 into L1TEX M-Stage for texture","1"
"l1tex__m_xbar2l1tex_read_bytes_pipe_lsu","Counter","byte","# of bytes read from L2 into L1TEX M-Stage for LSU pipe","1"
"l1tex__m_xbar2l1tex_read_bytes_pipe_tex","Counter","byte","# of bytes read from L2 into L1TEX M-Stage for TEX pipe","1"
"l1tex__m_xbar2l1tex_read_sectors","Counter","sector","# of sectors read from L2 into L1TEX M-Stage","1"
"l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom","Counter","sector","# of sectors read from L2 into L1TEX M-Stage for global atomics","1"
"l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld","Counter","sector","# of sectors read from L2 into L1TEX M-Stage for local/global loads","1"
"l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom","Counter","sector","# of sectors read from L2 into L1TEX M-Stage for surface atomics","1"
"l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld","Counter","sector","# of sectors read from L2 into L1TEX M-Stage for surface loads","1"
"l1tex__m_xbar2l1tex_read_sectors_mem_texture","Counter","sector","# of sectors read from L2 into L1TEX M-Stage for texture","1"
"l1tex__m_xbar2l1tex_read_sectors_pipe_lsu","Counter","sector","# of sectors read from L2 into L1TEX M-Stage for LSU pipe","1"
"l1tex__m_xbar2l1tex_read_sectors_pipe_tex","Counter","sector","# of sectors read from L2 into L1TEX M-Stage for TEX pipe","1"
"l1tex__m_xbar2l1tex_throughput","Throughput","%","XBAR to L1TEX M-Stage throughput","1"
"l1tex__m_xbar2l1tex_throughput_pipe_lsu","Throughput","%","XBAR to L1TEX M-Stage throughput for LSU pipe","1"
"l1tex__m_xbar2l1tex_throughput_pipe_tex","Throughput","%","XBAR to L1TEX M-Stage throughput for TEX pipe","1"
"l1tex__t_bytes","Counter","byte","# of bytes requested","1"
